Symbol,Security,CIK,word_count,bhr_negative,bhr_positive,lm_negative,lm_positive,esg_negative,esg_positive,ecom_negative,ecom_positive,bio_negative,bio_positive,unique_word_count
MMM,3M,66740,76432.0,0.04431389993719908,0.0417495289930919,0.043097132091270675,0.015124555160142349,0.0,1.3083525225036635e-05,0.0,0.0,5.233410090014654e-05,0.0001177517270253297,6384.0
AOS,A. O. Smith,91142,33810.0,0.03291925465838509,0.03839100857734398,0.03410233658680863,0.013161786453711919,2.9577048210588582e-05,0.0,0.0,0.0,0.0,8.873114463176575e-05,3801.0
ABT,Abbott,1800,52061.0,0.039492134227156604,0.03976104953804191,0.0362459422600411,0.010583738306986036,1.9208236491807687e-05,0.0,0.0,3.8416472983615374e-05,0.00011524941895084612,0.00036495649334434605,5045.0
ABBV,AbbVie,1551152,61560.0,0.03518518518518519,0.034957764782326185,0.035818713450292396,0.01476608187134503,1.6244314489928523e-05,1.6244314489928523e-05,0.0,1.6244314489928523e-05,6.49772579597141e-05,0.00027615334632878494,5886.0
ACN,Accenture,1467373,51953.0,0.03412699940330684,0.04675379670086424,0.03643677939676246,0.018439743614420728,0.0,5.774449983639058e-05,1.9248166612130196e-05,3.849633322426039e-05,0.0,5.774449983639058e-05,5169.0
ATVI,Activision Blizzard,718877,67164.0,0.041971889702816984,0.036730986838187124,0.032621642546602346,0.014933595378476565,0.0,0.0,0.0,0.00013400035733428622,0.0,2.977785718539694e-05,5193.0
ADM,ADM,7084,19098.0,0.034192061996020526,0.032935385904283174,0.030631479736098022,0.013142737459419835,0.0,0.0,0.0,0.0,0.0,0.00010472300764477956,2608.0
ADBE,Adobe Inc.,796343,56245.0,0.03813672326429016,0.04149702195750733,0.033923015379144814,0.020428482531780603,0.0,0.0,0.0,0.0,0.0,3.555871633034048e-05,5484.0
ADP,ADP,8670,47453.0,0.03245316418350789,0.03907023791962574,0.03698396307925737,0.013992792868733273,0.0,4.214696647208817e-05,0.0,0.0,0.0,6.322044970813226e-05,4780.0
AAP,Advance Auto Parts,1158449,32509.0,0.037712633424590115,0.04204989387554216,0.036174597803685135,0.01784121320249777,0.0,0.0,3.07607124180996e-05,3.07607124180996e-05,0.0,6.15214248361992e-05,4105.0
AES,AES Corporation,874761,127432.0,0.040798229644045454,0.03710214074957625,0.037839789063971375,0.016848201393684474,3.1389289974260783e-05,3.9236612467825976e-05,0.0,0.0,7.847322493565196e-06,0.0,7707.0
AFL,Aflac,4977,103119.0,0.041873951454145214,0.03870285786324538,0.03283584984338483,0.013518362280472075,7.7580271336999e-05,0.0,9.697533917124875e-06,0.0,6.788273741987413e-05,0.00025213588184524674,6835.0
A,Agilent Technologies,1090872,44849.0,0.027024013913353698,0.042096813752815,0.028027380766572275,0.015741711074940355,0.0,0.0,0.0,0.0,2.2297041182635064e-05,4.459408236527013e-05,4548.0
APD,Air Products and Chemicals,2969,64212.0,0.04273344546190743,0.04745218962187753,0.028997695134865758,0.015043917024855167,6.229365227683299e-05,1.5573413069208248e-05,0.0,0.0,0.0,1.5573413069208248e-05,5255.0
AKAM,Akamai,1086222,55603.0,0.043702677913062246,0.042983292268402785,0.03318166285991763,0.016869593367264357,1.798464111648652e-05,0.0,0.0,0.0,0.0,1.798464111648652e-05,5154.0
ALK,Alaska Air Group,766421,46412.0,0.03542187365336551,0.04496681892613979,0.034236835301215206,0.015039213996380247,0.0,0.0,4.309230371455658e-05,0.0,2.154615185727829e-05,0.00010773075928639145,4962.0
ALB,Albemarle Corporation,915913,86799.0,0.03391744144517794,0.03604880240555767,0.03374462839433634,0.01404394059839399,4.608348022442655e-05,2.3041740112213274e-05,0.0,0.0,0.0,5.760435028053319e-05,6485.0
ARE,Alexandria Real Estate Equities,1035443,121710.0,0.03331690082984143,0.037876920548845616,0.03422068852189631,0.01450168433160792,3.2865006983813983e-05,2.464875523786049e-05,0.0,0.0,0.0,0.00010681127269739544,8319.0
ALGN,Align Technology,1097149,60387.0,0.036183284481759316,0.03921373805620415,0.039942371702518756,0.015682183251362048,0.0,0.0,0.0,1.6559855598059184e-05,1.6559855598059184e-05,9.935913358835511e-05,5684.0
ALLE,Allegion,1579241,51361.0,0.03800549054730243,0.04347656782383521,0.03746032982223867,0.01767878351278207,0.0,0.0,0.0,0.0,0.0,5.841007768540332e-05,4911.0
LNT,Alliant Energy,352541,66943.0,0.039346907070194045,0.0355376962490477,0.028770745260893595,0.012906502546942922,2.9876163303108615e-05,2.9876163303108615e-05,0.0,1.4938081651554307e-05,0.0,4.481424495466292e-05,5719.0
ALL,Allstate,899051,53662.0,0.0541537773470985,0.02513883194811971,0.03134434050165853,0.014274533189221422,1.863516082143789e-05,0.0,0.0,1.863516082143789e-05,0.0,0.0,3703.0
GOOGL,Alphabet Inc. (Class A),1652044,50613.0,0.03892280639361429,0.04155058976942683,0.04044415466382155,0.01869085017683204,9.878884871475707e-05,0.0,0.0,0.0,0.0,1.9757769742951417e-05,4983.0
GOOG,Alphabet Inc. (Class C),1652044,50613.0,0.03892280639361429,0.04155058976942683,0.04044415466382155,0.01869085017683204,9.878884871475707e-05,0.0,0.0,0.0,0.0,1.9757769742951417e-05,4983.0
MO,Altria,764180,79039.0,0.041308721011146396,0.039588051468262504,0.0467111172965245,0.014246131656523995,3.79559457989094e-05,0.0,0.0,0.0,3.79559457989094e-05,0.0001391718012626678,5475.0
